Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Gradable,Offerable,Hazmat,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Action Figures,Anime Figures,Darling in the Franxx Nendoroid Zero Two: Childhood Ver.,New/sealed,9,Auction,50,1-2 lbs,FALSE,False,Not Hazmat,,,,,,,,
Action Figures,Anime Figures,Gurren Lagann - POP UP PARADE Yoko,New/sealed,8,Auction,35,1-2 lbs,FALSE,False,Not Hazmat,,,,,,,,
Action Figures,Anime Figures,Evangelion - Pop Up Parade Rei Ayanami (Long Hair Ver.),New/sealed,1,Auction,35,1-2 lbs,FALSE,False,Not Hazmat,,,,,,,,
Action Figures,Anime Figures,Darling in the Franxx POP UP PARADE Ichigo,New/sealed,4,Auction,30,1-2 lbs,FALSE,False,Not Hazmat,,,,,,,,
